Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -DL -O11111114 -fo8 -N"C:\Documents and Settings\Administrador\Meus documentos\Projeto_softwares\pic 18f\teste\sequencial.mcppi" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Documents and Settings\Administrador\Meus documentos\Projeto_softwares\pic 18f\teste\" "sequencial.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_256.mcl" "__Lib_FLASH_w32_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
diagnostics: 0	125	All files Preprocessed in 15 ms	 
diagnostics: 0	121	Compilation Started	sequencial.c
diagnostics: 92	122	Compiled Successfully	sequencial.c
diagnostics: 0	126	All files Compiled in 94 ms	 
hint: 0	1141	Used RAM (bytes): 37 (2%)  Free RAM (bytes): 1478 (98%)	Used RAM (bytes): 37 (2%)  Free RAM (bytes): 1478 (98%)
hint: 0	1141	Used ROM (bytes): 817 (2%)  Free ROM (bytes): 31951 (98%)	Used ROM (bytes): 817 (2%)  Free ROM (bytes): 31951 (98%)
diagnostics: 0	124	Project Linked Successfully	sequencial.mcppi
diagnostics: 0	127	Linked in 859 ms	 
diagnostics: 0	128	Project 'sequencial.mcppi' completed: 1421 ms	 
diagnostics: 0	103	Finished successfully: 18 set 2010, 14:21:56	sequencial.mcppi
