Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -DL -O11111114 -fo8 -N"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\31 - SENSOR_TEMP\SENSOR_TEMP.mcppi" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\31 - SENSOR_TEMP\" -SP"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\XX - INFRA_PWM_AN0\" -SP"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\xx - AD_AN0_PWM\" "main.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_Conversions.mcl" "__Lib_ADC_A_D.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\XX - INFRA_PWM_AN0'	 
warning: 0	1501	Specified search path does not exist: 'C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\xx - AD_AN0_PWM'	 
diagnostics: 0	125	All files Preprocessed in 16 ms	 
diagnostics: 0	121	Compilation Started	main.c
diagnostics: 105	122	Compiled Successfully	main.c
diagnostics: 0	126	All files Compiled in 47 ms	 
hint: 0	1141	Used RAM (bytes): 28 (2%)  Free RAM (bytes): 1487 (98%)	Used RAM (bytes): 28 (2%)  Free RAM (bytes): 1487 (98%)
hint: 0	1141	Used ROM (bytes): 1016 (3%)  Free ROM (bytes): 31752 (97%)	Used ROM (bytes): 1016 (3%)  Free ROM (bytes): 31752 (97%)
diagnostics: 0	124	Project Linked Successfully	SENSOR_TEMP.mcppi
diagnostics: 0	127	Linked in 250 ms	 
diagnostics: 0	128	Project 'SENSOR_TEMP.mcppi' completed: 407 ms	 
diagnostics: 0	103	Finished successfully: 17 jul 2009, 14:58:45	SENSOR_TEMP.mcppi
